time,plasma conc,CE_SI,CE_alpha,CE_beta,CE_LZc
616,0.024689125,0.027076638,0.030947846,0.027510851,0.029381026
618,0.024590088,0.026967055,0.030825157,0.027399357,0.029262104
620,0.024491487,0.026857956,0.030702933,0.027288356,0.029143687
622,0.02439332,0.026749339,0.030581172,0.027177845,0.029025772
624,0.024295586,0.026641202,0.030459874,0.027067821,0.028908358
626,0.024198281,0.026533542,0.030339038,0.026958283,0.028791442
628,0.024101405,0.026426357,0.030218664,0.026849228,0.028675024
630,0.024004955,0.026319646,0.030098752,0.026740655,0.028559102
632,0.02390893,0.026213405,0.0299793,0.02663256,0.028443673
634,0.023813327,0.026107633,0.029860308,0.026524942,0.028328736
636,0.023718144,0.026002328,0.029741774,0.0264178,0.02821429
638,0.02362338,0.025897487,0.029623699,0.026311129,0.028100332
640,0.023529033,0.025793109,0.029506082,0.026204929,0.02798686
642,0.0234351,0.025689192,0.029388921,0.026099197,0.027873873
644,0.02334158,0.025585732,0.029272215,0.025993932,0.02776137
646,0.023248472,0.025482729,0.029155965,0.025889131,0.027649348
648,0.023155772,0.02538018,0.029040169,0.025784791,0.027537805
650,0.02306348,0.025278083,0.028924826,0.025680912,0.02742674
652,0.022971593,0.025176436,0.028809935,0.02557749,0.027316151
654,0.02288011,0.025075237,0.028695495,0.025474524,0.027206036
656,0.022789028,0.024974483,0.028581506,0.025372012,0.027096393
658,0.022698346,0.024874174,0.028467966,0.025269951,0.026987221
660,0.022608063,0.024774306,0.028354875,0.02516834,0.026878518
662,0.022518176,0.024674879,0.028242231,0.025067176,0.026770281
664,0.022428683,0.024575889,0.028130034,0.024966459,0.02666251
666,0.022339583,0.024477335,0.028018282,0.024866184,0.026555202
668,0.022250874,0.024379215,0.027906974,0.024766351,0.026448356
670,0.022162554,0.024281527,0.02779611,0.024666958,0.02634197
672,0.022074621,0.024184269,0.027685688,0.024568002,0.026236041
674,0.021987074,0.024087439,0.027575707,0.024469481,0.026130569
676,0.021899911,0.023991035,0.027466166,0.024371394,0.026025551
678,0.02181313,0.023895055,0.027357064,0.024273739,0.025920986
680,0.02172673,0.023799497,0.0272484,0.024176514,0.025816871
682,0.021640708,0.023704359,0.027140173,0.024079716,0.025713206
684,0.021555062,0.02360964,0.027032381,0.023983344,0.025609988
686,0.021469793,0.023515338,0.026925023,0.023887395,0.025507215
688,0.021384896,0.023421449,0.026818099,0.023791869,0.025404886
690,0.021300372,0.023327974,0.026711607,0.023696763,0.025302999
692,0.021216217,0.023234909,0.026605545,0.023602074,0.025201552
694,0.021132432,0.023142254,0.026499914,0.023507802,0.025100543
696,0.021049012,0.023050005,0.02639471,0.023413944,0.024999971
698,0.020965958,0.022958162,0.026289934,0.023320499,0.024899834
700,0.020883268,0.022866722,0.026185584,0.023227464,0.02480013
702,0.020800939,0.022775683,0.026081659,0.023134838,0.024700857
704,0.02071897,0.022685045,0.025978157,0.023042619,0.024602013
706,0.02063736,0.022594804,0.025875078,0.022950805,0.024503598
708,0.020556107,0.022504959,0.025772419,0.022859394,0.024405608
710,0.020475209,0.022415509,0.025670181,0.022768384,0.024308043
712,0.020394665,0.022326451,0.02556836,0.022677774,0.0242109
714,0.020314473,0.022237784,0.025466957,0.022587561,0.024114177
716,0.020234631,0.022149506,0.025365971,0.022497744,0.024017874
718,0.020155138,0.022061615,0.025265398,0.022408322,0.023921988
720,0.020075993,0.02197411,0.025165239,0.022319292,0.023826518
722,0.019997193,0.021886988,0.025065492,0.022230652,0.023731461
724,0.019918737,0.021800248,0.024966156,0.022142401,0.023636816
726,0.019840624,0.021713888,0.024867229,0.022054537,0.023542582
728,0.019762852,0.021627907,0.024768711,0.021967059,0.023448756
730,0.019685419,0.021542303,0.024670599,0.021879964,0.023355337
732,0.019608324,0.021457073,0.024572892,0.02179325,0.023262324
734,0.019531566,0.021372217,0.02447559,0.021706917,0.023169714
736,0.019455142,0.021287733,0.02437869,0.021620962,0.023077505
738,0.019379052,0.021203618,0.024282192,0.021535384,0.022985697
740,0.019303294,0.021119872,0.024186095,0.02145018,0.022894287
742,0.019227866,0.021036493,0.024090395,0.02136535,0.022803274
744,0.019152767,0.020953478,0.023995094,0.021280891,0.022712656
746,0.019077995,0.020870827,0.023900188,0.021196802,0.022622431
748,0.019003549,0.020788537,0.023805678,0.021113081,0.022532598
750,0.018929428,0.020706607,0.02371156,0.021029726,0.022443155
752,0.018855629,0.020625036,0.023617835,0.020946737,0.0223541
754,0.018782152,0.020543821,0.0235245,0.02086411,0.022265432
756,0.018708995,0.020462962,0.023431555,0.020781845,0.022177149
758,0.018636157,0.020382456,0.023338998,0.02069994,0.02208925
760,0.018563635,0.020302302,0.023246827,0.020618393,0.022001732
762,0.018491429,0.020222498,0.023155041,0.020537203,0.021914594
764,0.018419538,0.020143043,0.02306364,0.020456367,0.021827834
766,0.018347959,0.020063935,0.02297262,0.020375885,0.021741452
768,0.018276692,0.019985173,0.022881982,0.020295755,0.021655445
770,0.018205734,0.019906754,0.022791724,0.020215975,0.021569811
772,0.018135086,0.019828678,0.022701844,0.020136543,0.021484549
774,0.018064744,0.019750943,0.022612341,0.020057459,0.021399658
776,0.017994708,0.019673547,0.022523214,0.01997872,0.021315135
778,0.017924977,0.019596489,0.022434461,0.019900325,0.021230979
